operacao,data,Atendentes,Falando,Ocioso,A - Improdutiva,Receptivo,A - Alô sem CPC,A - Alô com CPC negativo,A - Alô com CPC positivo,R - Improdutiva,R - Alô sem CPC,R - Alô com CPC negativo,R - Alô com CPC positivo,TotalPositivo,TotalProdutiva,PositivoPorPA,PositivoPorTempoLogado
CARTAO,2021-07-26,1,0.0472222,0.0000000,0,7,0,0,0,1,0,0,0,0,0,0,0.000000000000000
CONSIG,2021-07-26,16,73.7588888,3.4463888,161,449,60,4,582,38,4,35,313,895,998,55,11.592471729408251
VEICULOS,2021-07-26,25,50.4675000,3.8552777,106,476,225,61,578,0,0,0,0,578,864,23,10.640103905666745
CONSIG,2021-07-27,18,79.7411111,3.2069444,191,515,59,4,624,41,1,35,352,976,1075,54,11.766399989283789
C6,2021-07-27,1,0.5402777,0.8052777,36,26,0,0,3,0,0,0,0,3,3,3,2.229562345169282
CARTAO,2021-07-27,3,0.4355555,0.1077777,7,1,0,3,4,0,0,0,0,4,7,1,7.361963190184049
VEICULOS,2021-07-27,24,46.8925000,0.3361111,20,221,178,22,483,0,0,0,0,483,683,20,10.226851661245831
CARTAO,2021-07-28,3,6.0447222,1.3147222,66,98,2,12,75,2,0,0,18,93,107,31,12.636823431720390
CONSIG,2021-07-28,15,71.4188888,3.2425000,178,402,59,4,609,29,2,24,287,896,985,59,12.000848274245575
VEICULOS,2021-07-28,27,80.1175000,3.0327777,122,691,236,30,670,0,0,0,0,670,936,24,8.057700081178322
CONSIG,2021-07-29,17,73.0033333,4.3538888,165,366,63,8,670,30,1,24,262,932,1028,54,12.048002413047694
VEICULOS,2021-07-29,25,41.8788888,2.5383333,55,198,97,39,523,0,0,0,0,523,659,20,11.774712011106803
CARTAO,2021-07-29,3,6.6375000,1.9480555,49,141,5,21,73,1,0,0,24,97,123,32,11.298045813381649
CARTAO,2021-07-30,4,5.9252777,0.8275000,8,90,2,16,65,6,0,0,23,88,106,22,13.031674208144796
CONSIG,2021-07-30,17,68.3138888,4.8491666,196,323,67,2,674,30,1,18,226,900,988,52,12.301290496493753
VEICULOS,2021-07-30,18,40.8463888,0.0013888,23,228,55,41,425,0,0,0,0,425,521,23,10.404482768000435
VEICULOS,2021-07-31,11,27.9708333,0.0005555,2,84,56,38,259,0,0,0,0,259,353,23,9.259461552975759
CARTAO,2021-07-31,3,3.1163888,1.2133333,37,6,1,12,49,0,0,0,3,52,65,17,12.010008340283570
CONSIG,2021-07-31,13,38.6955555,19.6100000,210,35,64,3,501,6,0,3,23,524,594,40,8.987136731777037
CARTAO,2021-08-02,4,10.4491666,2.2863888,116,3,7,46,149,1,0,0,2,151,204,37,11.856569534112720
VEICULOS,2021-08-02,17,30.0363888,4.3308333,83,69,139,58,314,0,0,0,0,314,511,18,9.136612728536558
CONSIG,2021-08-02,15,58.9775000,9.2566666,157,222,65,3,578,18,0,19,157,735,822,49,10.771729705304039
VEICULOS,2021-08-03,25,38.5402777,4.9086111,90,162,149,58,549,0,0,0,0,549,756,21,12.635536006546645
CONSIG,2021-08-03,15,66.1977777,3.3297222,167,320,55,4,591,21,1,29,223,814,903,54,11.707597713135090
CARTAO,2021-08-03,6,13.1811111,5.0997222,87,0,7,57,203,0,0,0,0,203,267,33,11.104526598896841
CARTAO,2021-08-04,6,8.6472222,4.9841666,43,105,4,19,75,10,2,2,49,124,151,20,9.096651926721415
C6,2021-08-04,1,0.1116666,1.8219444,16,14,0,0,5,0,0,0,0,5,5,5,2.585835368481540
CONSIG,2021-08-04,15,62.4133333,4.0761111,180,315,55,5,591,26,2,30,210,801,893,53,12.047025008146657
VEICULOS,2021-08-04,24,44.2908333,1.0216666,18,317,127,34,616,0,0,0,0,616,777,25,13.594482758620690
